product_id,crop_category,crop,variety_name,duration_days,season,plant_height,key_traits,pest_disease_tolerance,fruit_grain_quality,yield_indicator,recommended_irrigation,target_problem_fit,target_region,mrp_inr,pack_size,distributor_availability,approved_for_recommendation,image_url,source_url,last_verified_date
MST001,Field Crop,Mustard,VIGOUR 2311,105-110,Rabi,Standard,Early maturing; oil content 40-42%; 1000 seed wt 4.0-4.5gm; potential yield,"Tolerant to major insect, pest & disease",High oil content (40-42%),Potential yield,Rainfed/Irrigated,Early-maturity oilseed slot,"RJ, MP, HR",,5 kg,,Y,https://vigourseeds.in/images/mustard-1.png,https://vigourseeds.in/mustard.php,2026-04-23
MST002,Field Crop,Mustard,VIGOUR 916,Standard,Rabi,Standard,1000 seed wt 4.5-5.0gm; medium bold round seed; oil content 38-40%; early maturing,"Tolerant to insect, pest & disease",Medium bold round seed; 38-40% oil,Good yield (rainfed & irrigated),Rainfed/Irrigated,Both rainfed & irrigated mustard zones,"RJ, MP, HR",,5 kg,,Y,https://vigourseeds.in/images/mustard-2.png,https://vigourseeds.in/mustard.php,2026-04-23
MST003,Field Crop,Mustard,VIGOUR 4010,TBD,Rabi,TBD,NEEDS R&D INPUT,TBD,TBD,TBD,Rainfed/Irrigated,TBD,TBD,,5 kg,,N,https://vigourseeds.in/images/mustard-3.png,https://vigourseeds.in/mustard.php,2026-04-23
BJR001,Field Crop,Bajra (Pearl Millet),VIGOUR VANSHIKA,Standard,Kharif & Rabi,6-8 ft,Early maturity; vigorous growth; shiny ash gray bold grain; broad dark green leaves; non-lodging; stay green fodder,Standard,Shiny ash gray bold grain + good fodder,Standard,Rainfed,Dual-purpose grain + fodder,"RJ, GJ, MH, MP",,1.5 kg,,Y,https://vigourseeds.in/images/millet-2.png,https://vigourseeds.in/bajra.php,2026-04-23
BJR002,Field Crop,Bajra (Pearl Millet),VIGOUR SINGHAM,80-85,Kharif,7-8 ft,Medium height non-lodging; non-bristled compact long earhead; bold grain; stay green fodder,Tolerant to downy mildew,Bold grain + fodder,Good yield,Rainfed,Downy mildew prone areas,"RJ, GJ, MH",,1.5 kg,,Y,https://vigourseeds.in/images/millet-1.png,https://vigourseeds.in/bajra.php,2026-04-23
OKR001,Vegetable,Okra,VIGOUR 69,45-50 (1st harvest),Kharif/Summer,"Dwarf, short internode",Dark green tender straight fruit; easy picking; high yield; crispy uniform fruit,Tolerant to YVMV & OLCV,Dark green tender straight; crispy,High yield,Irrigated,YVMV / OLCV prone okra belts,"MP, UP, MH, GJ",,500 g,,Y,https://vigourseeds.in/images/okara-1.png,https://vigourseeds.in/okra.php,2026-04-23
OKR002,Vegetable,Okra,VIGOUR 10,45-50 (1st harvest),Kharif/Summer,Medium tall,Dark green tender straight fruit; easy picking; high yield; crispy uniform,Tolerant to YVMV & OLCV,Dark green tender straight,High yield,Irrigated,Standard okra zones,"MP, UP, MH, GJ",,500 g,,Y,https://vigourseeds.in/images/okara-2.jpg,https://vigourseeds.in/okra.php,2026-04-23
OKR003,Vegetable,Okra,VIGOUR DIVYA,47-51 (1st harvest),Kharif/Summer,Medium tall,Dark uniform green tender straight; easy picking; high yield; crispy uniform,Highly tolerant to YVMV & OLCV,Dark uniform green,High yield,Irrigated,Heavy YVMV / OLCV pressure areas,"MP, UP, MH, GJ",,500 g,,Y,https://vigourseeds.in/images/okara-3.jpg,https://vigourseeds.in/okra.php,2026-04-23
TOM001,Vegetable,Tomato,VIGOUR 77,65-70 (1st harvest),Kharif/Rabi,Semi-determinate,"Semi round, acidic desi segment; deep red uniform; fruit 85-90gm; good for distant markets","Tolerant to ToLCV, EB, LB",Deep red uniform; firm,Good yield,Irrigated,Long-distance transport markets,"MP, MH, KA",,10 g,,Y,https://vigourseeds.in/images/tomato-1.jpg,https://vigourseeds.in/tomato.php,2026-04-23
TOM002,Vegetable,Tomato,VIGOUR 99,65-70 (1st harvest),Kharif/Rabi,Semi-determinate vigorous,Round dark red with green shoulder; firm; fruit 90-100gm; excellent rejuvenation,"Tolerant to ToLCV, EB, LB",Round dark red; firm,Good yield,Irrigated,Disease-prone areas + distant markets,"MP, MH, KA",,10 g,,Y,https://vigourseeds.in/images/tomato-2.jpg,https://vigourseeds.in/tomato.php,2026-04-23
TOM003,Vegetable,Tomato,VIGOUR MAMTA,65-70 (1st harvest),Kharif/Rabi,Semi-determinate vigorous,Desi type; flat round red with green shoulder; fruit 70-90gm,"Tolerant to ToLCV, EB, LB",Flat round red — desi segment,Standard,Irrigated,Local desi markets,"MP, RJ, UP",,10 g,,Y,https://vigourseeds.in/images/tomato-3.jpg,https://vigourseeds.in/tomato.php,2026-04-23
TOM004,Vegetable,Tomato,VIGOUR DEEPAK,65-70 (1st harvest),Kharif/Rabi,Semi-determinate vigorous,Oval uniform deep red; excellent keeping quality; fruit 90-110gm; profuse bearing,"Tolerant to ToLCV, Early blight",Oval uniform deep red — excellent shelf life,High yield potential,Irrigated,Premium / longer shelf-life markets,"MP, MH, KA",,10 g,,Y,https://vigourseeds.in/images/tomato-4.jpg,https://vigourseeds.in/tomato.php,2026-04-23
TOM005,Vegetable,Tomato,VIGOUR VERSHA,65-70 (1st harvest),Kharif/Rabi,Semi-determinate,Square round dark red; fruit 100-110gm; high yielding hybrid; long transport quality,"Tolerant to ToLCV, EB, LB",Square round dark red — premium grade,High yielding,Irrigated,Long transport / export-style,"MP, MH, KA",,10 g,,Y,https://vigourseeds.in/images/tomato-5.jpg,https://vigourseeds.in/tomato.php,2026-04-23
HPP001,Vegetable,Hot Pepper (Chilli),VIGOUR UJWALA,Standard,Kharif/Rabi,"Medium tall, dense canopy",Short thin fruits 12-15cm × 0.8-0.9cm; parrot green medium pungent; fresh purpose,Tolerant to sucking pests & virus,Parrot green medium pungent,High yield capacity,Irrigated,Fresh green chilli market,"AP, TG, KA, MH",,10 g,,Y,https://vigourseeds.in/images/pepper-1.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP002,Vegetable,Hot Pepper (Chilli),VIGOUR SHIKHA,Standard,Kharif/Rabi,Tall spreading,Parrot green; medium long shiny wrinkled; 14-15cm × 1.2-1.4cm; medium pungent,Tolerant to sucking pest,Parrot green wrinkled — premium fresh,Excellent yield,Irrigated,Fresh chilli premium segment,"AP, TG, KA, MH",,10 g,,Y,https://vigourseeds.in/images/pepper-2.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP003,Vegetable,Hot Pepper (Chilli),VIGOUR KIRTI,Standard,Kharif/Rabi,"Medium tall, dense canopy",14-16cm × 1.5-2.0cm; long bhajji segment; less pungent; excellent keeping,Tolerant to sucking pests & virus,Long bhajji segment,High yielding,Irrigated,Bhajji / mirchi pakora segment,"MP, MH, GJ",,10 g,,Y,https://vigourseeds.in/images/pepper-3.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP004,Vegetable,Hot Pepper (Chilli),VIGOUR VK 47,Standard,Kharif/Rabi,"Medium tall, dense canopy",Short thin 7-8cm × 0.8-0.9cm; dark red high pungent; red powder retention,Tolerant to sucking pest & virus,Dark red high pungent,Standard,Irrigated,Red dry chilli / powder market,"AP, TG, KA",,10 g,,Y,https://vigourseeds.in/images/pepper-4.png,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP005,Vegetable,Hot Pepper (Chilli),VIGOUR GADAR,Standard,Kharif/Rabi,"Medium tall, dense canopy",Short thin 8-10cm × 0.8-0.9cm; dark red high pungent; red powder retention,Highly tolerant to sucking pests & virus,Dark red high pungent,Standard,Irrigated,Red dry chilli + virus-prone areas,"AP, TG, KA",,10 g,,Y,https://vigourseeds.in/images/pepper-5.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP006,Vegetable,Hot Pepper (Chilli),VIGOUR 90-90,Standard,Kharif/Rabi,Tall semi-spreading,Short thin 7-8cm × 0.8-0.9cm; dark red high pungent; red powder retention,Excellent tolerant to sucking pest,Dark red high pungent,Standard,Irrigated,Red dry chilli premium,"AP, TG, KA",,10 g,,Y,https://vigourseeds.in/images/pepper-6.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP007,Vegetable,Hot Pepper (Chilli),VIGOUR VK 56,Standard,Kharif/Rabi,Tall vigorous,Medium green; medium long smooth glossy 11-12cm × 1.2-1.4cm; high pungent,Tolerant to sucking pest,Medium green smooth glossy,High dry fruit weight,Irrigated,Red dry purpose,"AP, TG, KA",,10 g,,Y,https://vigourseeds.in/images/pepper-7.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP008,Vegetable,Hot Pepper (Chilli),VIGOUR 2000,Standard,Kharif/Rabi,Tall vigorous,Shiny green thick tapering bullet type; 6-7cm × 2-3cm; medium pungent,Tolerant to sucking pest,Bullet type shiny green,Standard,Irrigated,Bullet chilli market,"MH, KA, MP",,10 g,,Y,https://vigourseeds.in/images/pepper-8.png,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP009,Vegetable,Hot Pepper (Chilli),VIGOUR NAVIKA,Standard,Kharif/Rabi,Medium tall semi-spreading,Shiny green smooth glossy upright; 6-7cm × 0.8-0.9cm; high pungent; excellent red dry,Tolerant to sucking pest,Shiny green smooth glossy upright,Very high yield,Irrigated,Dual green + red dry market,"AP, TG, KA, MH",,10 g,,Y,https://vigourseeds.in/images/pepper-9.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
HPP010,Vegetable,Hot Pepper (Chilli),VIGOUR SHOURYA,Standard,Kharif/Rabi,Medium tall semi-spreading,Purplish glossy; 7-8cm × 0.8-0.9cm; high pungent; excellent green & red dry,Tolerant to sucking pest,Purplish glossy — distinctive,Very high yield in segment,Irrigated,Specialty purplish chilli markets,"AP, TG, KA",,10 g,,Y,https://vigourseeds.in/images/pepper-10.jpg,https://vigourseeds.in/hot-pepper.php,2026-04-23
WTM001,Vegetable,Watermelon,VIGOUR 501,85-90,Summer,Vigorous vines,Jubilee segment; big oblong shiny 10-12kg; dark red crispy 11-12% TSS; export type,Standard,Big oblong shiny — export grade,High yield,Irrigated,Export & long-transport market,"AP, TN, MH, GJ",,50 g,,Y,https://vigourseeds.in/images/water-1.png,https://vigourseeds.in/watermelon.php,2026-04-23
WTM002,Vegetable,Watermelon,VIGOUR 701,65-70,Summer,Vigorous vines,Ice-box segment; big oval shiny 4-7kg; dark red crispy 12-13% TSS; small seed,Standard,Ice-box small format — premium retail,Standard,Irrigated,Modern retail / ice-box segment,"MH, KA, GJ",,50 g,,Y,https://vigourseeds.in/images/water-2.png,https://vigourseeds.in/watermelon.php,2026-04-23
WTM003,Vegetable,Watermelon,VIGOUR DHEERAJ,70-75 (1st harvest),Summer,Spreading,Red firm sweet flesh; avg 5-7kg; sweetness 12 brix; good fruit setting,Standard,Red firm sweet — good local market,Standard,Irrigated,Local market early harvest,"MP, MH, GJ",,50 g,,Y,https://vigourseeds.in/images/water-3.png,https://vigourseeds.in/watermelon.php,2026-04-23
WTM004,Vegetable,Watermelon,VIGOUR GAJRAJ,75-80,Summer,Vigorous vines,Black skin round 7-8kg; dark red crispy 11-12% TSS; export & keeping quality,Standard,Black skin round — premium export,High yield,Irrigated,Export & premium retail,"AP, MH, GJ",,50 g,,Y,https://vigourseeds.in/images/water-4.jpg,https://vigourseeds.in/watermelon.php,2026-04-23
WTM005,Vegetable,Watermelon,VIGOUR BHIMA,75-80,Summer,Healthy vines,Crimson sweet type; 8-12kg; dark red crispy 11-12% TSS; export purpose,Standard,Crimson sweet — large format export,High yield,Irrigated,Bulk export market,"AP, MH, GJ",,50 g,,Y,https://vigourseeds.in/images/water-5.jpg,https://vigourseeds.in/watermelon.php,2026-04-23
SNF001,Field Crop,Sunflower,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/sunflower.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/sunflower.php,2026-04-23
SOR001,Field Crop,Sorghum (Jowar),TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/sorghum.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/sorghum.php,2026-04-23
CMN001,Field Crop,Cumin/Sesame,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/cumin-sesame.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/cumin-sesame.php,2026-04-23
BRJ001,Vegetable,Brinjal,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/brinjal.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/brinjal.php,2026-04-23
BTG001,Vegetable,Bitter Gourd,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/bitter-gourd.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/bitter-gourd.php,2026-04-23
BLG001,Vegetable,Bottle Gourd,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/bottle-gourd.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/bottle-gourd.php,2026-04-23
RDG001,Vegetable,Ridge Gourd,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/ridge-gourd.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/ridge-gourd.php,2026-04-23
SPG001,Vegetable,Sponge Gourd,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/sponge-gourd.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/sponge-gourd.php,2026-04-23
MSK001,Vegetable,Muskmelon,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/muskmelon.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/muskmelon.php,2026-04-23
CCR001,Vegetable,Cucumber,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/cucumber.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/cucumber.php,2026-04-23
CFL001,Vegetable,Cauliflower,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/cauliflower.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/cauliflower.php,2026-04-23
CBG001,Vegetable,Cabbage,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/cabbage.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/cabbage.php,2026-04-23
PMK001,Vegetable,Pumpkin,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/pumpkin.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/pumpkin.php,2026-04-23
CPS001,Vegetable,Capsicum,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/capsicum.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/capsicum.php,2026-04-23
ONI001,Vegetable,Onion,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/onion.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/onion.php,2026-04-23
RDS001,Vegetable,Radish,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/radish.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/radish.php,2026-04-23
BNS001,Vegetable,Beans,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/beans.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/beans.php,2026-04-23
SCN001,Vegetable,Sweet Corn / Peas / Gawar,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/sweet-corn.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/sweet-corn.php,2026-04-23
HRB001,Vegetable,Coriander / Spinach / Methi,TBD,TBD,TBD,TBD,POPULATE FROM CLIENT CATALOG / vigourseeds.in/coriander.php,TBD,TBD,TBD,TBD,TBD,TBD,,TBD,,N,,https://vigourseeds.in/coriander.php,2026-04-23
